id	title	genre	duration	created_at	likes_count	reposts_count	kind	permalink	permalink_url	uri	user_id	tag_list	track_count	trackIds
275675917	Chill	Chill	8180513	2016-11-15	8997	688	playlist	chill	https://soundcloud.com/iijeriichoii/sets/chill	https://api.soundcloud.com/playlists/275675917	24439798		37	208174877,101988938,245946661,1688272,6109158,2827829,267149317,218638479,152181242,104762415,203326435,207337518,317011532,316536608,269471046,272630093,221004112,262287927,211192418,322231828,328861250,323338918,337440515,231160275,298209662,345592723,127492703,155469367,353424524,348379239,364407053,425773098,204001121,466382796,451489188,482988678,502974456
312603422	After Party	Relax	4648624	2017-04-03	4007	185	playlist	after-party	https://soundcloud.com/alcides-augusto-948527436/sets/after-party	https://api.soundcloud.com/playlists/312603422	208456866	afterparty relax	17	131058741,182859485,102700900,230219957,194510401,59895401,182648319,140391236,201884147,97287230,187805747,205908718,190613559,177509896,289754313,233770380,161980476
238293557	GYM		6741102	2016-07-03	6223	271	playlist	gym	https://soundcloud.com/mohamed-nageb-3/sets/gym	https://api.soundcloud.com/playlists/238293557	42878728	gym workout	11	273629819,270482836,145839137,110741387,234999277,253660124,214698527,194729139,226478493,202306452,252477342
239481577	Motivated Music - July 2016	WorkOut	4123564	2016-07-07	10900	440	playlist	motivated-music-july-2016	https://soundcloud.com/fitnuslife/sets/motivated-music-july-2016	https://api.soundcloud.com/playlists/239481577	163911442	gym fitness motivation running Edm Dance House	18	271409580,238162839,269226033,270690977,272594774,235108006,272593685,268364223,264023874,272310752,269771052,229490683,270219613,272145077,269617006,270160251,229306058,265655497
581141859	Jazz hip3	Jazz	4026418	2018-08-12	15945	749	playlist	jazz-hip3	https://soundcloud.com/yourparadis/sets/jazz-hip3	https://api.soundcloud.com/playlists/581141859	283347384	Relax Jazz lofi jazzhiphop	26	339215568,243297554,327992677,305391956,413530593,332286052,244762996,327854541,348584448,432017151,443328087,327117099,383005298,342973619,373466810,436083933,182404492,359753132,244096684,396318876,345974108,301446375,373182620,284762111,243023157,399250770
624309312	Study, Chill, Relax, Gaming ~ Audible Adderall #15	study	16886612	2018-10-16	19588	914	playlist	audible-adderall-15	https://soundcloud.com/mugatunesofficial/sets/audible-adderall-15	https://api.soundcloud.com/playlists/624309312	193531220	"Chill Relax ""audible adderall"" noshittymusic sleep"	67	497893788,1143657676,496141866,1152777904,1111389628,1148558170,1075829947,1096790107,1148688190,1148602897,333558772,1087303858,1145427754,495558030,1148489452,1118321164,501775581,1066759333,507903219,1092551122,1101435322,491898150,323366326,1112601826,490096386,80764633,1062208339,460684869,431126559,1057447855,472881681,382470947,486873645,922848538,458875404,489543129,492008199,478531236,304090691,486572214,465741546,486122853,350274430,483308910,483777897,498365070,457807581,475951785,476290899,414604413,220940419,246741647,420731896,495615978,486752223,502356411,503133909,445582071,501921822,260323764,88752404,303748225,300553503,405082749,463608519,513218913,483381033
725708028	SUMMER 19	PARTY	16222636	2019-03-09	4110	159	playlist	summer-19	https://soundcloud.com/user-610681392/sets/summer-19	https://api.soundcloud.com/playlists/725708028	217578784		33	577694661,409549161,232668290,523847409,163888261,533962188,244575414,174545747,585610146,159513770,483237303,600383397,428258358,298871683,488470779,218663070,292717832,269562614,154735997,191964693,497893788,379204589,84118776,341023301,435630510,342138094,18853020,613493451,267596823,317575153,12162709,239753341,31242880
1087236382	Sad//Slowed//Chill	chill	19540878	2020-07-07	4688	90	playlist	slowed	https://soundcloud.com/user-267115463/sets/slowed	https://api.soundcloud.com/playlists/1087236382	849217042	slowed tiktok sad chill	62	822363979,509208894,581322255,782891314,811581220,784979086,578790621,448902789,798921043,755377810,755880871,710694808,674461856,369884684,561447804,358570511,243327194,851827924,830321770,621459426,765592969,552395928,644964588,775714900,869489434,842149843,819958846,337512917,812912680,722171611,464311236,488889423,900025660,416155581,150556166,889129852,613866123,591291966,838706977,733993687,789008539,634105794,752037760,132014647,622527630,813702901,919138456,900600571,532983123,279188904,296496013,926082778,24880470,777451315,609573249,23693848,826258873,88980393,873104056,521503455,173968014,469471707
305665701	Lofi	lofi	23871318	2017-03-08	94787	2934	playlist	lofi	https://soundcloud.com/user-692461400/sets/lofi	https://api.soundcloud.com/playlists/305665701	293713798	lofi study	156	283831214,347644075,561882696,303853993,333039211,592816941,317547294,337652909,186530837,296962224,549086580,335521383,274011530,327073612,314732615,308945708,261956297,401621832,433524648,270781619,346143258,243277960,376719902,341568899,347539277,337238572,306817628,167505592,344045850,339190075,600100719,325216059,405089169,346883679,245071808,206782090,311598029,249208062,327068293,313534719,902959279,298807477,607920558,272494415,338865697,437359557,686452972,296715495,383884778,278815463,370226924,298623051,317691063,244743713,333536882,262740697,212338462,340530207,347232841,194715478,347736214,284369474,297642518,313128792,319852229,302520493,414839982,337213956,338517131,318143904,320101598,449716776,312283402,474272706,363455900,345900273,351553894,357486047,314353749,316568007,303449449,296465072,268799947,280116434,338580722,340529913,334444665,343708045,300997167,344471227,309225087,339345301,471401607,342334724,474351459,346349430,178916138,279188904,576388578,337321014,557593830,568947723,548885208,325009375,559670982,517428612,345697537,557804904,525789078,552051105,463292994,232871675,301810910,224680378,459639720,476666259,472254570,224177507,323204260,1035330517,243963348,499497651,499011495,429956652,385311893,585133590,367680257,342797009,417551408,334059234,410730417,342754070,800656006,331248448,448354566,274011568,775523572,362292134,337895729,326094500,332438890,913133707,921475747,939608581,864591529,337487846,269797428,312394593,140308121,1068892885,1071661330,57221295,605143374,287902450,612714387,341626276
169130588	Sleep healing sounds		18838143	2015-11-26	78216	4652	playlist	sleep-healing-sounds	https://soundcloud.com/jean-claude-4/sets/sleep-healing-sounds	https://api.soundcloud.com/playlists/169130588	11140254		13	192753999,33657121,210719218,151635012,70884712,221900926,133596855,127254845,226709847,207140526,229157706,75708257,118868469
704881914	Believe in the dream	lofi	1937826	2019-02-09	8592	350	playlist	believe-in-the-dream	https://soundcloud.com/cranky-wolves/sets/believe-in-the-dream	https://api.soundcloud.com/playlists/704881914	258576383	"lofi Dream ""study music"" sleep"	13	517386243,297806366,397327392,341191257,325060371,533460858,339270424,537337071,544076202,498202392,365550212,543553236,536327544
98244872	the best fucking revision playlist ever		14770412	2015-04-14	10927	648	playlist	thebestfuckingrevisionplaylistever	https://soundcloud.com/emlayting/sets/thebestfuckingrevisionplaylistever	https://api.soundcloud.com/playlists/98244872	48964914	jzz hiphop chill a ambient revise work study studying	55	178902529,188179113,64532740,174962998,155018381,174104721,200453914,93329866,98635550,193218215,162989287,164711016,105694376,66816172,32523360,154271795,157671540,70262260,183934204,188506297,184938288,144263221,144263209,144263205,4009736,70956506,124008117,186042476,115087023,32646707,20273754,78421354,64601234,181571536,158813270,86135995,48036813,125126434,27715813,171405786,78205793,88750341,98268176,199691609,6897961,39321529,165857557,17314698,176209033,123056935,39599532,203979828,171006078,207015965,132356979
238904795	Instrumental 6 - Swirling	Neoclassical	4488782	2016-07-05	16932	1039	playlist	instrumental-6	https://soundcloud.com/agamidae/sets/instrumental-6	https://api.soundcloud.com/playlists/238904795	17971787	instrumental Classical Strings Orchestral emotional epic work study	15	121416325,237409057,269733873,223378841,110077769,212427743,237821481,251681168,271554192,24373506,52281206,255917796,231715151,160272579,271269903
311547228	Chill	jazzhop	5945648	2017-03-30	36036	2203	playlist	s07	https://soundcloud.com/yeonkkot/sets/s07	https://api.soundcloud.com/playlists/311547228	180340836	chill Ambient jazzhop study Relax lofi	33	860669008,216472168,207238285,260221223,195021123,201040737,264634814,238957184,249801793,202251902,187852994,215682806,203243820,246885023,263248828,245648434,832257415,45752403,270892628,228138253,134368553,48331976,267228468,266548995,274049133,395711334,253940912,575919138,560580789,859516288,959105428,276116429,1041823741
253737934	Music For Concentration		4649239	2016-08-26	24777	1573	playlist	music-for-concentration	https://soundcloud.com/user-221702713/sets/music-for-concentration	https://api.soundcloud.com/playlists/253737934	249812102	study focus	20	263153662,43047740,256140609,172884842,260240455,142300871,132173968,253172201,76070288,237821481,244437069,249726971,275266046,73331125,11817799,70674084,253172606,190065710,274717954,139415174
632412507	Party 2018		9272863	2018-10-28	64680	4036	playlist	party-2018	https://soundcloud.com/partyplaylists69/sets/party-2018	https://api.soundcloud.com/playlists/632412507	454283658	Party	46	584959245,237242362,887015536,557534421,167810531,322247356,208485855,850144228,693794488,877762033,642323157,731522308,266489131,318470521,222238653,891430180,293983123,207430150,590096274,603854502,323889283,310968421,602800461,681996821,603328008,842491084,406938789,218230580,789490390,337396175,275869874,212263577,444288303,172245994,143553285,170202151,332846872,257939729,264023874,70972306,156125563,342497243,244144744,406527663,141415883,247599017
127755258	Morning Chillout	chill	38467526	2015-07-23	139131	7145	playlist	morning-chillout	https://soundcloud.com/mightyj-1/sets/morning-chillout	https://api.soundcloud.com/playlists/127755258	2182746	electronic morning sunrise chillout downtempo sunset house relax	104	206559958,455663940,169155349,1032718162,689486647,196504795,176568862,838807852,1068707635,101403891,231380272,231678958,100430651,950175106,256761970,257763131,169989132,168448204,174276882,927383770,171791080,200580240,207094246,263453033,233770380,200910035,290208917,290085882,322538554,95759647,233330508,233681465,220122138,214853924,55149736,258469434,332100635,258794393,247405635,267278797,331342685,243889279,180149002,26905303,337065653,336226146,338247612,335839818,346040635,308893865,365746157,236082267,308486400,304180358,287310273,276927984,256128412,128209587,76255568,166783535,84384151,130572064,284305671,211029451,214787869,137127648,115526695,503151465,165185488,337842103,155700228,305816859,438233802,137033616,656385386,305219559,593981181,249833335,520211469,505711077,656236307,533076738,576354837,178032085,195171197,209723296,654806993,112564688,217746816,435026730,747651682,416126220,384520922,206189104,543396186,385441865,505919196,685993468,230806728,894699616,86511625,530915988,265696323,1096953538
