Playlist ID	Tilte	Playlist url	Genre	Likes count	Repost count	Track Count	TrackIDs	Creator ID	Creator name	user url
659700135	💔 sad songs to cry yourself to sleep to 💔	https://soundcloud.com/ultrasadly/sets/sad-songs-to-cry-yourself-to	Ambient	3993	170.0	15	205830401 440259888 411375333 201493685 294339639 348153369 475487391 297109405 160180518 453390561 327830565 290282751 279618502 314265809 222012181 	295090381	☹	https://soundcloud.com/ultrasadly
94099602	Calm Night Sky	https://soundcloud.com/mrteddy_us/sets/zen	chill 	19234	2005.0	19	172821893 1044398359 184427657 161971413 150792950 146075336 170640953 162737553 167800096 135741557 344591237 312042623 315930782 313884132 233772002 2043816 332499517 672433679 718801927 	69204911	MrTeddy	https://soundcloud.com/mrteddy_us
819362814	Best Electro of All-Time (Vol. 01)	https://soundcloud.com/digitalstreams/sets/electroworkout	workout	17393	604.0	48	75151590 72447821 345370105 54740440 25730687 71246745 2697864 106914652 19514559 72447214 38600403 45052168 102286007 21655177 70232351 168014647 47754495 89995405 127252730 83514594 142316653 48097265 19593070 101159822 85147942 89416841 122099541 135979973 353749592 54575045 72521828 145490699 260053335 264877276 83068282 161779249 361878308 30864631 84927017 115511554 130465488 143109582 84162128 224895699 1070687083 177803472 320751825 362595035 	133467077	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams
110187832	Best of Trap & Bass	https://soundcloud.com/westcoastradiotv/sets/trapmixtape	trap	50289	2859.0	38	935544391 909356458 59527799 1070687083 1020090547 65540182 306589972 193202172 804982927 303527743 182273431 503152929 311047500 70742119 321771293 436177344 158625139 107340428 126236311 179074875 125633262 372151028 58640749 159827700 82507109 52243136 94121210 196649160 235314205 273275043 929026144 213120733 185870063 223907096 247202997 153828401 488680869 1091504863 	139777650	Westcoast Radio	https://soundcloud.com/westcoastradiotv
223557686	YNM#4	https://soundcloud.com/teamdr/sets/noise-basement	Hip-hop & Rap	13197	860.0	40	166806576 154696577 18180609 227404021 151890447 94497567 173752787 124818101 93698799 181092800 58982198 55619529 222097527 235089107 235345950 128916148 151115481 206268195 206558035 153330529 237603952 213539368 216513050 206606028 70528665 6032314 249686647 283124766 179948900 160472898 210601966 184286258 93318593 37838421 5167734 223780028 94372131 205839905 278942474 53119616 	47788017	ARA	https://soundcloud.com/teamdr
71418030	sleep/sad	https://soundcloud.com/xeefje/sets/sleep		4840	571.0	14	169726555 33200301 167779033 56977365 160972615 62715602 149542220 166237090 72348489 94029981 149542226 154903684 103685353 122899544 	122418842	eefje	https://soundcloud.com/xeefje
915404338	winter jazz	https://soundcloud.com/tb3dvuqu1ugs/sets/winterjazz	Jazz & Blues	8338	303.0	15	298007166 51362024 51573288 324784661 36231721 383005298 643269525 340314881 73708161 68776495 94673878 117619961 318817183 114914883 164647455 	245121594	User 101682266	https://soundcloud.com/tb3dvuqu1ugs
83230259	Best of House Music (Vol. 01)	https://soundcloud.com/digitalstreams/sets/ilovehouse	Dance & EDM	89920	5231.0	40	158289443 1137187084 103082310 998769370 1113840751 16683323 38813274 91611410 61805572 107830181 121815322 18637863 46062012 117466406 190452632 143581807 57128167 221753178 102385010 165711513 174048752 300617619 123406633 84118776 98959393 145594777 155803761 910635538 269202693 593609646 409624149 176559905 128684984 60530563 56194226 20363210 201526007 215519855 420731896 441674586 	133467077	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams
290297160	STUDY	https://soundcloud.com/bukopan/sets/study-2017	study	4869	250.0	54	275169049 198358370 280116434 10665890 119079452 216900937 226840909 40125368 160083643 186530837 158037118 231108093 242234999 159052607 104886474 96158205 162881787 232550234 296754562 233299245 257109388 281580837 207577934 248449465 209629802 135772404 173279062 74184839 291525203 318327037 321016925 322618663 339754967 308133816 344523873 381878120 249208062 339496762 326697849 352264094 298782014 263672702 343028044 125915322 173365182 244351028 287023772 473188050 346878388 473757432 381112586 611056662 387892892 248233935 	112607655	mcatiu	https://soundcloud.com/bukopan
872712452	a chilly autumn day	https://soundcloud.com/tb3dvuqu1ugs/sets/achillyautumnday	R&B	6385	238.0	15	327992677 377530892 377689613 460829589 516617862 156850836 297663288 454912461 424522626 207601966 499651353 605814051 239190728 328135735 312433236 	245121594	User 101682266	https://soundcloud.com/tb3dvuqu1ugs
